Date,MFGI,AFGI
2021-09-06,50.0,79
2021-09-07,15.0,79
2021-09-08,20.53,47
2021-09-09,22.69,45
2021-09-10,18.89,46
2021-09-11,21.6,31
2021-09-12,36.47,32
2021-09-13,30.49,44
2021-09-14,36.77,30
2021-09-15,42.05,49
2021-09-16,41.25,53
2021-09-17,37.88,48
2021-09-18,45.33,50
2021-09-19,45.97,53
2021-09-20,16.15,50
2021-09-21,15.0,27
2021-09-22,25.51,21
2021-09-23,30.51,27
2021-09-24,23.92,33
2021-09-25,25.7,28
2021-09-26,30.55,27
2021-09-27,27.45,26
2021-09-28,23.38,25
2021-09-29,26.71,24
2021-09-30,31.27,20
2021-10-01,46.35,27
2021-10-02,45.15,54
2021-10-03,47.21,49
2021-10-04,50.43,54
2021-10-05,55.0,59
2021-10-06,55.0,68
2021-10-07,60.47,76
2021-10-08,60.45,74
2021-10-09,61.94,72
2021-10-10,61.68,71
2021-10-11,65.01,71
2021-10-12,59.95,78
2021-10-13,62.54,70
2021-10-14,62.56,70
2021-10-15,62.9,71
2021-10-16,60.3,78
2021-10-17,60.73,79
2021-10-18,60.66,78
2021-10-19,63.41,75
2021-10-20,73.34,82
2021-10-21,63.92,84
2021-10-22,61.52,75
2021-10-23,61.97,74
2021-10-24,62.72,73
2021-10-25,64.83,72
2021-10-26,56.3,76
2021-10-27,51.5,73
2021-10-28,54.91,66
2021-10-29,56.2,70
2021-10-30,55.71,73
2021-10-31,60.55,74
2021-11-01,59.39,74
2021-11-02,61.36,73
2021-11-03,60.11,76
2021-11-04,57.84,73
2021-11-05,60.16,73
2021-11-06,45.38,71
2021-11-07,47.1,73
2021-11-08,49.71,75
2021-11-09,70.61,84
2021-11-10,45.1,75
2021-11-11,56.93,77
2021-11-12,67.03,74
2021-11-13,67.16,72
2021-11-14,77.82,74
2021-11-15,55.98,72
2021-11-16,48.1,71
2021-11-17,48.54,52
2021-11-18,42.14,54
2021-11-19,32.62,34
2021-11-20,47.22,43
2021-11-21,46.15,49
2021-11-22,46.3,50
2021-11-23,37.93,33
2021-11-24,42.05,42
2021-11-25,48.87,32
2021-11-26,31.4,47
2021-11-27,34.36,21
2021-11-28,37.19,27
2021-11-29,38.12,33
2021-11-30,51.55,40
2021-12-01,52.06,34
2021-12-02,52.46,32
2021-12-03,46.34,31
2021-12-04,37.79,25
2021-12-05,38.43,18
2021-12-06,40.1,16
2021-12-07,41.77,25
2021-12-08,46.68,28
2021-12-09,41.58,29
2021-12-10,47.1,24
2021-12-11,33.85,16
2021-12-12,35.25,27
2021-12-13,23.07,28
2021-12-14,30.52,21
2021-12-15,41.42,28
2021-12-16,46.4,29
2021-12-17,24.39,23
2021-12-18,32.56,24
2021-12-19,33.46,29
2021-12-20,35.24,25
2021-12-21,37.4,27
2021-12-22,38.34,45
2021-12-23,31.29,34
2021-12-24,55.24,41
2021-12-25,41.93,39
2021-12-26,45.92,37
2021-12-27,51.4,40
2021-12-28,30.75,41
2021-12-29,36.46,27
2021-12-30,43.67,22
2021-12-31,39.49,28
2022-01-01,44.72,21
2022-01-02,46.28,29
2022-01-03,50.53,29
2022-01-04,49.66,23
2022-01-05,57.21,24
2022-01-06,42.9,15
2022-01-07,38.23,18
2022-01-08,43.7,10
2022-01-09,44.29,23
2022-01-10,44.24,23
2022-01-11,58.89,21
2022-01-12,61.87,22
2022-01-13,59.94,21
2022-01-14,53.69,21
2022-01-15,52.68,23
2022-01-16,52.74,21
2022-01-17,52.61,22
2022-01-18,51.73,24
2022-01-19,54.24,24
2022-01-20,50.61,24
2022-01-21,28.27,19
2022-01-22,28.23,13
2022-01-23,34.32,11
2022-01-24,35.04,13
2022-01-25,42.05,12
2022-01-26,44.78,23
2022-01-27,42.17,20
2022-01-28,44.8,24
2022-01-29,37.57,24
2022-01-30,55.66,29
2022-01-31,48.05,20
2022-02-01,51.06,26
2022-02-02,42.6,28
2022-02-03,43.77,20
2022-02-04,52.75,20
2022-02-05,47.59,33
2022-02-06,59.99,37
2022-02-07,54.5,45
2022-02-08,60.12,48
2022-02-09,54.27,54
2022-02-10,51.47,50
2022-02-11,48.89,50
2022-02-12,47.81,44
2022-02-13,57.46,44
2022-02-14,53.46,46
2022-02-15,54.65,46
2022-02-16,50.43,51
2022-02-17,40.74,52
2022-02-18,37.81,30
2022-02-19,40.42,25
2022-02-20,50.8,27
2022-02-21,44.04,25
2022-02-22,44.72,20
2022-02-23,45.37,25
2022-02-24,38.13,23
2022-02-25,48.63,27
2022-02-26,46.62,26
2022-02-27,44.78,26
2022-02-28,45.96,20
2022-03-01,49.49,51
2022-03-02,40.58,52
2022-03-03,37.13,39
2022-03-04,26.58,33
2022-03-05,24.76,22
2022-03-06,35.46,22
2022-03-07,28.54,23
2022-03-08,37.75,21
2022-03-09,40.94,22
2022-03-10,34.92,28
2022-03-11,33.25,22
2022-03-12,33.84,22
2022-03-13,27.91,21
2022-03-14,31.84,23
2022-03-15,37.01,21
2022-03-16,34.2,24
2022-03-17,34.33,27
2022-03-18,36.66,25
2022-03-19,43.82,28
2022-03-20,45.47,31
2022-03-21,38.53,30
2022-03-22,47.26,26
2022-03-23,44.98,31
2022-03-24,47.86,40
2022-03-25,48.82,47
2022-03-26,45.04,51
2022-03-27,54.22,49
2022-03-28,52.17,60
2022-03-29,49.92,56
2022-03-30,65.76,55
2022-03-31,59.9,52
2022-04-01,54.44,50
2022-04-02,57.28,52
2022-04-03,66.98,48
2022-04-04,61.54,52
2022-04-05,62.32,53
2022-04-06,51.57,48
2022-04-07,55.83,34
2022-04-08,53.67,37
2022-04-09,62.16,30
2022-04-10,64.96,34
2022-04-11,45.19,32
2022-04-12,47.74,20
2022-04-13,52.37,25
2022-04-14,53.2,28
2022-04-15,53.44,22
2022-04-16,55.93,28
2022-04-17,44.89,28
2022-04-18,47.2,24
2022-04-19,62.03,27
2022-04-20,51.14,27
2022-04-21,55.16,27
2022-04-22,50.06,26
2022-04-23,53.19,24
2022-04-24,51.81,24
2022-04-25,52.47,23
2022-04-26,54.02,27
2022-04-27,54.15,21
2022-04-28,52.62,24
2022-04-29,51.4,23
2022-04-30,52.87,20
2022-05-01,61.3,22
2022-05-02,48.55,28
2022-05-03,51.01,27
2022-05-04,53.24,21
2022-05-05,39.59,27
2022-05-06,39.59,22
2022-05-07,38.69,23
2022-05-08,36.61,18
2022-05-09,22.66,11
2022-05-10,21.87,10
2022-05-11,22.89,12
2022-05-12,25.97,12
2022-05-13,32.35,10
2022-05-14,33.59,9
2022-05-15,31.39,10
2022-05-16,27.84,14
2022-05-17,28.45,8
2022-05-18,27.64,12
2022-05-19,27.54,13
2022-05-20,25.79,13
2022-05-21,18.51,13
2022-05-22,28.84,14
2022-05-23,28.09,10
2022-05-24,26.47,12
2022-05-25,33.78,11
2022-05-26,21.67,12
2022-05-27,23.16,12
2022-05-28,22.86,13
2022-05-29,39.04,14
2022-05-30,37.89,10
2022-05-31,39.5,16
2022-06-01,29.46,17
2022-06-02,33.52,13
2022-06-03,28.55,10
2022-06-04,24.29,14
2022-06-05,33.25,10
2022-06-06,42.76,13
2022-06-07,43.71,15
2022-06-08,46.89,17
2022-06-09,49.56,11
2022-06-10,47.11,13
2022-06-11,44.25,12
2022-06-12,37.51,14
2022-06-13,12.35,11
2022-06-14,10.9,8
2022-06-15,19.03,7
2022-06-16,16.49,7
2022-06-17,15.26,9
2022-06-18,15.42,6
2022-06-19,23.78,6
2022-06-20,16.53,9
2022-06-21,19.62,9
2022-06-22,17.75,11
2022-06-23,17.62,11
2022-06-24,27.68,11
2022-06-25,27.35,14
2022-06-26,30.97,14
2022-06-27,24.81,12
2022-06-28,21.09,10
2022-06-29,24.77,13
2022-06-30,24.46,11
2022-07-01,30.04,11
2022-07-02,29.06,14
2022-07-03,32.96,11
2022-07-04,30.42,14
2022-07-05,32.3,19
2022-07-06,33.86,18
2022-07-07,37.35,18
2022-07-08,44.08,20
2022-07-09,46.58,24
2022-07-10,42.79,24
2022-07-11,34.14,22
2022-07-12,31.09,16
2022-07-13,50.26,15
2022-07-14,52.95,18
2022-07-15,56.11,15
2022-07-16,58.49,21
2022-07-17,61.24,24
2022-07-18,65.02,20
2022-07-19,71.56,30
2022-07-20,73.28,31
2022-07-21,66.58,34
2022-07-22,64.89,33
2022-07-23,66.06,31
2022-07-24,59.88,30
2022-07-25,56.59,30
2022-07-26,53.03,26
2022-07-27,63.43,28
2022-07-28,66.25,32
2022-07-29,63.26,39
2022-07-30,69.85,42
2022-07-31,70.32,39
2022-08-01,64.24,33
2022-08-02,57.28,31
2022-08-03,57.3,34
2022-08-04,61.85,30
2022-08-05,61.7,31
2022-08-06,57.7,31
2022-08-07,60.33,30
2022-08-08,63.86,30
2022-08-09,67.4,42
2022-08-10,66.93,31
2022-08-11,66.37,41
2022-08-12,67.99,42
2022-08-13,75.47,46
2022-08-14,53.59,47
2022-08-15,58.92,45
2022-08-16,60.86,44
2022-08-17,66.56,41
2022-08-18,64.12,30
2022-08-19,41.85,33
2022-08-20,55.01,29
2022-08-21,58.15,27
2022-08-22,52.31,29
2022-08-23,52.51,28
2022-08-24,58.29,25
2022-08-25,56.05,25
2022-08-26,49.63,27
2022-08-27,45.11,28
2022-08-28,51.28,28
2022-08-29,52.8,24
2022-08-30,51.92,27
2022-08-31,56.51,23
2022-09-01,50.3,20
2022-09-02,55.15,25
2022-09-03,50.64,21
2022-09-04,62.99,20
2022-09-05,56.36,23
2022-09-06,53.18,22
2022-09-07,53.88,24
2022-09-08,53.62,20
2022-09-09,57.06,22
2022-09-10,51.38,28
2022-09-11,59.71,26
2022-09-12,64.02,25
2022-09-13,46.93,34
2022-09-14,45.57,27
2022-09-15,48.69,28
2022-09-16,48.01,20
2022-09-17,43.63,22
2022-09-18,56.56,27
2022-09-19,42.72,21
2022-09-20,51.51,23
2022-09-21,49.54,23
2022-09-22,50.23,22
2022-09-23,51.43,20
2022-09-24,56.82,24
2022-09-25,51.01,24
2022-09-26,53.91,21
2022-09-27,52.91,20
2022-09-28,53.81,20
2022-09-29,55.1,22
2022-09-30,49.23,21
2022-10-01,57.77,20
2022-10-02,48.03,24
2022-10-03,57.04,24
2022-10-04,55.3,20
2022-10-05,58.44,25
2022-10-06,60.84,26
2022-10-07,55.95,23
2022-10-08,60.1,24
2022-10-09,68.89,22
2022-10-10,60.51,22
2022-10-11,59.92,24
2022-10-12,60.57,20
2022-10-13,67.84,20
2022-10-14,70.57,24
2022-10-15,61.76,24
2022-10-16,75.23,24
2022-10-17,69.0,20
2022-10-18,66.02,22
2022-10-19,66.38,23
2022-10-20,66.7,23
2022-10-21,63.45,23
2022-10-22,67.41,20
2022-10-23,68.34,23
2022-10-24,62.93,22
2022-10-25,68.57,20
2022-10-26,74.7,33
2022-10-27,66.61,32
2022-10-28,60.81,30
2022-10-29,73.43,34
2022-10-30,74.92,34
2022-10-31,64.43,31
2022-11-01,69.95,30
2022-11-02,67.8,30
2022-11-03,66.4,30
2022-11-04,71.6,30
2022-11-05,78.55,38
2022-11-06,73.91,40
2022-11-07,62.81,33
2022-11-08,53.89,31
2022-11-09,29.9,29
2022-11-10,33.46,22
2022-11-11,30.36,25
2022-11-12,22.95,21
2022-11-13,31.63,22
2022-11-14,32.82,24
2022-11-15,32.53,22
2022-11-16,29.66,23
2022-11-17,30.16,20
2022-11-18,32.29,23
2022-11-19,20.48,23
2022-11-20,34.81,24
2022-11-21,30.74,21
2022-11-22,27.78,22
2022-11-23,33.52,22
2022-11-24,35.04,20
2022-11-25,35.37,20
2022-11-26,39.07,22
2022-11-27,29.43,26
2022-11-28,31.86,28
2022-11-29,37.96,26
2022-11-30,43.67,29
2022-12-01,44.28,27
2022-12-02,44.67,27
2022-12-03,44.76,27
2022-12-04,43.63,26
2022-12-05,47.56,26
2022-12-06,44.93,25
2022-12-07,43.55,29
2022-12-08,44.42,25
2022-12-09,64.25,26
2022-12-10,68.77,27
2022-12-11,74.06,26
2022-12-12,65.62,27
2022-12-13,76.06,27
2022-12-14,75.45,30
2022-12-15,63.33,31
2022-12-16,55.69,29
2022-12-17,56.89,28
2022-12-18,61.88,26
2022-12-19,55.34,29
2022-12-20,58.21,29
2022-12-21,60.08,26
2022-12-22,58.0,28
2022-12-23,65.02,27
2022-12-24,60.43,29
2022-12-25,63.64,29
2022-12-26,69.88,28
2022-12-27,63.69,27
2022-12-28,54.56,28
2022-12-29,67.49,28
2022-12-30,57.36,28
2022-12-31,57.83,25
2023-01-01,64.36,26
2023-01-02,61.87,27
2023-01-03,70.39,26
2023-01-04,67.52,29
2023-01-05,63.3,29
2023-01-06,62.55,26
2023-01-07,81.68,25
2023-01-08,62.21,25
2023-01-09,67.36,25
2023-01-10,70.25,26
2023-01-11,72.43,26
2023-01-12,78.26,30
2023-01-13,76.98,31
2023-01-14,76.54,46
2023-01-15,72.33,52
2023-01-16,86.15,45
2023-01-17,83.06,51
2023-01-18,80.39,52
2023-01-19,78.43,45
2023-01-20,80.29,51
2023-01-21,79.75,53
2023-01-22,90.57,53
2023-01-23,85.92,50
2023-01-24,74.07,52
2023-01-25,80.47,51
2023-01-26,71.05,54
2023-01-27,75.84,55
2023-01-28,76.35,52
2023-01-29,82.29,55
2023-01-30,74.79,61
2023-01-31,68.31,51
2023-02-01,73.46,56
2023-02-02,70.35,60
2023-02-03,66.23,60
2023-02-04,66.3,58
2023-02-05,64.73,58
2023-02-06,55.97,56
2023-02-07,64.91,54
2023-02-08,59.03,58
2023-02-09,54.38,55
2023-02-10,50.51,48
2023-02-11,52.24,49
2023-02-12,63.98,50
2023-02-13,54.43,48
2023-02-14,66.11,50
2023-02-15,66.39,53
2023-02-16,57.49,62
2023-02-17,65.8,61
2023-02-18,66.59,60
2023-02-19,58.39,60
2023-02-20,64.85,58
2023-02-21,59.88,60
2023-02-22,59.87,59
2023-02-23,63.31,56
2023-02-24,57.29,53
2023-02-25,58.17,52
2023-02-26,60.36,51
2023-02-27,57.86,50
2023-02-28,54.64,53
2023-03-01,60.88,50
2023-03-02,56.04,51
2023-03-03,47.95,50
2023-03-04,61.06,50
2023-03-05,53.8,47
2023-03-06,57.95,48
2023-03-07,54.64,49
2023-03-08,52.42,50
2023-03-09,43.69,44
2023-03-10,44.86,34
